Theatre_Name_Internal,Venue
Hooky Entertainment Addison + SDX,Addison
Hooky Entertainment Baytown + IMAX,Baytown
Hooky Entertainment Cary + SDX,Cary
Hooky Entertainment Delray Beach + SDX + IMAX,Delray
Showbiz Cinemas Edmond + SDX,Edmond
Showbiz Cinemas Fall Creek + SDX,Fall Creek
Hooky Entertainment Fredericksburg + SDX,Fredericksburg
Hooky Entertainment Homestead + SDX + IMAX,Homestead
Hooky Entertainment + SDX + IMAX,Hutto
Showbiz Cinemas Kingwood + SDX,Kingwood
Showbiz Cinemas Liberty Lakes + IMAX,Liberty Lakes
Hooky Entertainment Southlake Town Square + SDX,Southlake
Times Square Grand Slam,Tyler
Violet Crown Austin,VC Austin
Violet Crown Charlottesville,VC Charlottesville
Violet Crown Dallas,VC Dallas
Hooky Entertainment Waxahachie + IMAX,Waxahachie
