Theatre_Name_Internal,Theatre_Name_Comparable,Circuit_Code,Circuit_Name,Metro,Metro_Rank,City,State,Postal_Code,Rtk_Theatre_No,Branch,Zone,Area,Date_Range_Gross,#_Screens,Latitude,Longitude,Prev_Year_Range_Gross,%,Period,Day,Fiscal_Week,Fiscal_Week_Count,Date,DayOfWeek,EEG,Category,Day_Count,Daily_MS
Hooky Entertainment Fredericksburg + SDX,"EVO Entertainment Fredericksburg + EVX (Fredericksburg, VA)",EVOE,Es Vedra Cinemas,"Washington, DC (Hagrstwn)",8,Fredericksburg,VA,22407,991106,DC,Spotsylvania County,Fredericksburg VA,"$24,074",12,38.29,-77.51,"$19,459",24%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0593%
Hooky Entertainment Waxahachie + IMAX,"EVO Entertainment Waxahachie + IMAX (Waxahachie, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Waxahachie,TX,75165,990959,DAL,Ellis County,"Waxahachie, TX","$21,608",13,32.40,-96.82,"$18,151",19%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0532%
Showbiz Cinemas Edmond + SDX,"Showbiz Cinemas Edmond + SDX (Edmond, OK)",EVOE,Es Vedra Cinemas,Oklahoma City,44,Edmond,OK,73034,991978,OC,Oklahoma County,"Edmond, OK","$18,813",10,35.69,-97.42,"$13,915",35%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0463%
Violet Crown Santa Fe,"Violet Crown Santa Fe (Santa Fe, NM)",EVOE,Es Vedra Cinemas,Albuquerque-Santa Fe,45,Santa Fe,NM,87501,991638,DEN,Santa Fe County,"Santa Fe, NM","$16,766",11,35.68,-105.95,"$13,853",21%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,,,1,0.0413%
Showbiz Cinemas Kingwood + SDX,"Showbiz Cinemas Kingwood + SDX (Kingwood, TX)",EVOE,Es Vedra Cinemas,Houston,10,Kingwood,TX,77339,991146,DAL,Harris County,"Houston, TX - Caney","$15,924",15,30.07,-95.24,"$12,832",24%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0392%
Hooky Entertainment Delray Beach + SDX + IMAX,"EVO Entertainment Delray Beach + EVX + IMAX (Delray Beach, FL)",EVOE,Es Vedra Cinemas,West Palm Beach-Ft. Pierce,38,Delray Beach,FL,33446,991373,JAX,Palm Beach County,"Ft. Lauderdale, FL - Delray","$13,973",12,26.46,-80.19,"$12,973",8%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0344%
Showbiz Cinemas Fall Creek + SDX,"Showbiz Cinemas Fall Creek + SDX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77396,991677,DAL,Harris County,"Houston, TX - Cypress","$13,474",10,29.94,-95.24,"$14,738",-9%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0332%
Hooky Entertainment Baytown + IMAX,"Showbiz Cinemas Baytown + IMAX (Baytown, TX)",EVOE,Es Vedra Cinemas,Houston,10,Baytown,TX,77523,991646,DAL,Chambers County,"Baytown, TX","$12,150",10,29.82,-94.90,"$13,064",-7%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0299%
Hooky Entertainment Homestead + SDX + IMAX,"EVO Entertainment Homestead + EVX + IMAX (Homestead, FL)",EVOE,Es Vedra Cinemas,Miami-Ft. Lauderdale,16,Homestead,FL,33030,992088,JAX,Miami-Dade County,"Homestead, FL","$9,770",10,25.47,-80.48,"$13,782",-29%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0241%
Hooky Entertainment Cary + SDX,"EVO Entertainment Cary + EVX (Cary, NC)",EVOE,Es Vedra Cinemas,Raleigh-Durham (Fayetvlle),24,Cary,NC,27519,991650,CHA,Wake County,"Raleigh/Durham, NC - Research Triangle","$8,915",11,35.85,-78.89,"$7,280",22%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0219%
Hooky Entertainment Southlake Town Square + SDX,"EVO Entertainment Southlake Town Square + EVX (Southlake, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Southlake,TX,76092,990141,DAL,Tarrant County,"Fort Worth, TX - Grapevine","$8,680",8,32.94,-97.13,"$9,187",-6%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0214%
Times Square Grand Slam,"Times Square Grand Slam (Tyler, TX)",EVOE,Es Vedra Cinemas,Tyler-Longview(Lfkn&Ncgd),107,Tyler,TX,75703-3748,4189,DAL,Smith County,"Tyler, TX","$7,216",7,32.29,-95.30,"$7,221",-0%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0178%
Showbiz Cinemas Liberty Lakes + IMAX,"Showbiz Cinemas Liberty Lakes + IMAX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77049,991819,DAL,Harris County,"Houston, TX - East","$6,985",11,29.82,-95.17,"$6,180",13%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0172%
Violet Crown Charlottesville,"Violet Crown Charlottesville (Charlottesville, VA)",EVOE,Es Vedra Cinemas,Charlottesville,183,Charlottesville,VA,22902-5034,7514,DC,Charlottesville city,"Charlottesville, VA","$5,435",10,38.03,-78.48,"$2,125",156%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0134%
Bright Star Cinemas,"Bright Star Cinemas (Sulphur Springs, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Sulphur Springs,TX,75482,905233,DAL,Hopkins County,"Sulphur Springs, TX","$4,748",6,33.12,-95.59,"$3,720",28%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,,,1,0.0117%
Movieworks 4,"Movieworks 4 (Jackson, WY)",EVOE,Es Vedra Cinemas,Idaho Fals-Pocatllo(Jcksn),160,Jackson,WY,83001-9408,5997,SLC,Teton County,"Jackson, WY","$4,638",4,43.47,-110.79,"$5,019",-8%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,,,1,0.0114%
Hooky Entertainment Addison + SDX,"EVO Entertainment Addison + EVX (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75254,991369,DAL,Dallas County,"Dallas, TX","$4,173",8,32.95,-96.81,,,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0103%
Violet Crown Austin,"Violet Crown Austin (Austin, TX)",EVOE,Es Vedra Cinemas,Austin,47,Austin,TX,78701,991245,DAL,Travis County,"Austin, TX - Downtown","$3,413",4,30.27,-97.75,"$2,701",26%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0084%
Violet Crown Dallas,"Violet Crown Dallas (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75204,9312,DAL,Dallas County,"Dallas, TX - Love Field","$2,176",5,32.81,-96.80,"$1,722",26%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0054%
Hooky Entertainment Fredericksburg + SDX,"EVO Entertainment Fredericksburg + EVX (Fredericksburg, VA)",EVOE,Es Vedra Cinemas,"Washington, DC (Hagrstwn)",8,Fredericksburg,VA,22407,991106,DC,Spotsylvania County,Fredericksburg VA,"$26,553",12,38.29,-77.51,"$16,289",63%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0610%
Hooky Entertainment Waxahachie + IMAX,"EVO Entertainment Waxahachie + IMAX (Waxahachie, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Waxahachie,TX,75165,990959,DAL,Ellis County,"Waxahachie, TX","$19,174",13,32.40,-96.82,"$11,187",71%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0441%
Violet Crown Santa Fe,"Violet Crown Santa Fe (Santa Fe, NM)",EVOE,Es Vedra Cinemas,Albuquerque-Santa Fe,45,Santa Fe,NM,87501,991638,DEN,Santa Fe County,"Santa Fe, NM","$18,745",11,35.68,-105.95,"$9,585",96%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,,,2,0.0431%
