Weekday_Weekend,Calendar_Week,Fiscal_Week,Date,Industry,Day,Fiscal_Period,Day_Count,Cume
Weekend,1,P1W1,2023-12-29,40619993,Friday,Period 1,1,40619993
Weekend,1,P1W1,2023-12-30,43520250,Saturday,Period 1,2,84140243
Weekend,1,P1W1,2023-12-31,25192267,Sunday,Period 1,3,109332510
Weekday,1,P1W1,2024-01-01,31524187,Monday,Period 1,4,140856697
Weekday,1,P1W1,2024-01-02,22211795,Tuesday,Period 1,5,163068492
Weekday,1,P1W1,2024-01-03,16040833,Wednesday,Period 1,6,179109325
Weekday,1,P1W1,2024-01-04,13834530,Thursday,Period 1,7,192943855
Weekend,2,P1W2,2024-01-05,27098276,Friday,Period 1,8,220042131
Weekend,2,P1W2,2024-01-06,35911404,Saturday,Period 1,9,255953535
Weekend,2,P1W2,2024-01-07,21029142,Sunday,Period 1,10,276982677
Weekday,2,P1W2,2024-01-08,6655401,Monday,Period 1,11,283638078
Weekday,2,P1W2,2024-01-09,8388064,Tuesday,Period 1,12,292026142
Weekday,2,P1W2,2024-01-10,6836964,Wednesday,Period 1,13,298863106
Weekday,2,P1W2,2024-01-11,5398800,Thursday,Period 1,14,304261906
Weekend,3,P1W3,2024-01-12,32989579,Friday,Period 1,15,337251485
Weekend,3,P1W3,2024-01-13,36984804,Saturday,Period 1,16,374236289
Weekend,3,P1W3,2024-01-14,29017611,Sunday,Period 1,17,403253900
Weekday,3,P1W3,2024-01-15,19856185,Monday,Period 1,18,423110085
Weekday,3,P1W3,2024-01-16,9892276,Tuesday,Period 1,19,433002361
Weekday,3,P1W3,2024-01-17,7016493,Wednesday,Period 1,20,440018854
Weekday,3,P1W3,2024-01-18,6049133,Thursday,Period 1,21,446067987
Weekend,4,P1W4,2024-01-19,18636138,Friday,Period 1,22,464704125
Weekend,4,P1W4,2024-01-20,29180397,Saturday,Period 1,23,493884522
Weekend,4,P1W4,2024-01-21,18559255,Sunday,Period 1,24,512443777
Weekday,4,P1W4,2024-01-22,5293458,Monday,Period 1,25,517737235
Weekday,4,P1W4,2024-01-23,8328748,Tuesday,Period 1,26,526065983
Weekday,4,P1W4,2024-01-24,6052336,Wednesday,Period 1,27,532118319
Weekday,4,P1W4,2024-01-25,6060653,Thursday,Period 1,28,538178972
Weekend,5,P2W1,2024-01-26,15669344,Friday,Period 2,29,553848316
Weekend,5,P2W1,2024-01-27,28376915,Saturday,Period 2,30,582225231
Weekend,5,P2W1,2024-01-28,14604057,Sunday,Period 2,31,596829288
Weekday,5,P2W1,2024-01-29,4632451,Monday,Period 2,32,601461739
Weekday,5,P2W1,2024-01-30,7016669,Tuesday,Period 2,33,608478408
Weekday,5,P2W1,2024-01-31,5323681,Wednesday,Period 2,34,613802089
Weekday,5,P2W1,2024-02-01,5629785,Thursday,Period 2,35,619431874
Weekend,6,P2W2,2024-02-02,17762417,Friday,Period 2,36,637194291
Weekend,6,P2W2,2024-02-03,27021598,Saturday,Period 2,37,664215889
Weekend,6,P2W2,2024-02-04,17021733,Sunday,Period 2,38,681237622
Weekday,6,P2W2,2024-02-05,4389117,Monday,Period 2,39,685626739
Weekday,6,P2W2,2024-02-06,6916181,Tuesday,Period 2,40,692542920
Weekday,6,P2W2,2024-02-07,4521214,Wednesday,Period 2,41,697064134
Weekday,6,P2W2,2024-02-08,4280201,Thursday,Period 2,42,701344335
Weekend,7,P2W3,2024-02-09,12634154,Friday,Period 2,43,713978489
Weekend,7,P2W3,2024-02-10,20168344,Saturday,Period 2,44,734146833
Weekend,7,P2W3,2024-02-11,7820161,Sunday,Period 2,45,741966994
Weekday,7,P2W3,2024-02-12,4225643,Monday,Period 2,46,746192637
Weekday,7,P2W3,2024-02-13,6155151,Tuesday,Period 2,47,752347788
Weekday,7,P2W3,2024-02-14,27036314,Wednesday,Period 2,48,779384102
Weekday,7,P2W3,2024-02-15,9544206,Thursday,Period 2,49,788928308
Weekend,8,P2W4,2024-02-16,20060743,Friday,Period 2,50,808989051
Weekend,8,P2W4,2024-02-17,32736682,Saturday,Period 2,51,841725733
Weekend,8,P2W4,2024-02-18,25968318,Sunday,Period 2,52,867694051
Weekday,8,P2W4,2024-02-19,15598839,Monday,Period 2,53,883292890
Weekday,8,P2W4,2024-02-20,9014292,Tuesday,Period 2,54,892307182
Weekday,8,P2W4,2024-02-21,6065516,Wednesday,Period 2,55,898372698
Weekday,8,P2W4,2024-02-22,5338049,Thursday,Period 2,56,903710747
Weekend,9,P3W1,2024-02-23,19955738,Friday,Period 3,57,923666485
Weekend,9,P3W1,2024-02-24,25287680,Saturday,Period 3,58,948954165
Weekend,9,P3W1,2024-02-25,16064442,Sunday,Period 3,59,965018607
Weekday,9,P3W1,2024-02-26,4562843,Monday,Period 3,60,969581450
Weekday,9,P3W1,2024-02-27,7053638.522,Tuesday,Period 3,61,976635088.5
Weekday,9,P3W1,2024-02-28,4831655.272,Wednesday,Period 3,62,981466743.8
Weekday,9,P3W1,2024-02-29,4234455.34,Thursday,Period 3,63,985701199.1
Weekend,10,P3W2,2024-03-01,39386638.93,Friday,Period 3,64,1025087838
Weekend,10,P3W2,2024-03-02,42567469.4,Saturday,Period 3,65,1067655307
Weekend,10,P3W2,2024-03-03,30020151.69,Sunday,Period 3,66,1097675459
Weekday,10,P3W2,2024-03-04,9836058.97,Monday,Period 3,67,1107511518
Weekday,10,P3W2,2024-03-05,12198769.84,Tuesday,Period 3,68,1119710288
Weekday,10,P3W2,2024-03-06,10109371.01,Wednesday,Period 3,69,1129819659
Weekday,10,P3W2,2024-03-07,8776931.911,Thursday,Period 3,70,1138596591
